Team,Spiel,Nachname,Vorname,Punkte,FWVersuche,FWTreffer,2er,3er,Fouls
 Aalener Sportallianz, 60,Mystiroudis,Ioannis,6.0,3.0,2.0,2.0,0.0,1.0
 Aalener Sportallianz, 60,Mystiroudis,Thrasyvoulos,3.0,0.0,0.0,0.0,1.0,4.0
 Aalener Sportallianz, 60,Pekka,Emeric,0.0,0.0,0.0,0.0,0.0,1.0
 Aalener Sportallianz, 60,Quoc Anh,Vu,0.0,0.0,0.0,0.0,0.0,1.0
 Aalener Sportallianz, 60,Tchokoyo Nkongho,Crespin Miguel,14.0,0.0,0.0,7.0,0.0,1.0
 Aalener Sportallianz, 60,Weber,Max,2.0,6.0,2.0,0.0,0.0,5.0
 Aalener Sportallianz, 60,Wigel,Alexander,0.0,0.0,0.0,0.0,0.0,3.0
 Tb Ruit Deers, 60,Cetin,Samet,10.0,6.0,5.0,1.0,1.0,4.0
 Tb Ruit Deers, 60,Dere,Ibrahim,17.0,4.0,2.0,3.0,3.0,5.0
 Tb Ruit Deers, 60,Kuti,Goran,5.0,4.0,3.0,1.0,0.0,3.0
 Tb Ruit Deers, 60,Museta,Arian,13.0,3.0,1.0,6.0,0.0,4.0
 Tb Ruit Deers, 60,****,***,20.0,7.0,0.0,10.0,0.0,4.0
 Tb Ruit Deers, 60,Nhunwa Mbianga,Sylvain,3.0,2.0,1.0,1.0,0.0,4.0
 Tb Ruit Deers, 60,Pokoj,Franz,4.0,0.0,0.0,2.0,0.0,4.0
 Tb Ruit Deers, 60,Stefani,Rainer,0.0,0.0,0.0,0.0,0.0,0.0
 Tb Ruit Deers, 60,Zabadal,Patrick,2.0,0.0,0.0,1.0,0.0,4.0
 Tb Ruit Deers, 60,Zivkovic,Borislav,4.0,2.0,0.0,2.0,0.0,2.0
 TSV Essingen, 51,Demirtas,Luca,5.0,2.0,1.0,2.0,0.0,2.0
 TSV Essingen, 51,Henne,Stefan,2.0,4.0,2.0,0.0,0.0,3.0
 TSV Essingen, 51,Jaros,Samuel,10.0,0.0,0.0,2.0,2.0,1.0
 TSV Essingen, 51,Mehajer,Jaafar,18.0,6.0,5.0,2.0,3.0,0.0
 TSV Essingen, 51,Mehajer,Zoulfikar,0.0,0.0,0.0,0.0,0.0,2.0
 TSV Essingen, 51,Müller,Peter,0.0,0.0,0.0,0.0,0.0,0.0
 TSV Essingen, 51,Penz,Julian,6.0,5.0,4.0,1.0,0.0,3.0
 TSV Essingen, 51,Seyum,Alexander,0.0,0.0,0.0,0.0,0.0,3.0
 TSV Essingen, 51,Walter,Martin,3.0,2.0,1.0,1.0,0.0,0.0
 TSV Essingen, 51,****,***,13.0,0.0,0.0,2.0,3.0,0.0
 TSV Essingen, 51,Zimmermann,Manfred,12.0,0.0,0.0,3.0,2.0,1.0
 ASV Aichwald, 51,Bulkurcu,Ertunc,0.0,0.0,0.0,0.0,0.0,0.0
 ASV Aichwald, 51,Freitag,Markus,17.0,9.0,5.0,6.0,0.0,0.0
 ASV Aichwald, 51,Gramm,Moritz,8.0,4.0,2.0,0.0,2.0,2.0
 ASV Aichwald, 51,Prauß,Enniego,2.0,0.0,0.0,1.0,0.0,1.0
 ASV Aichwald, 51,Schwenzow,Tilmann,6.0,2.0,2.0,2.0,0.0,3.0
 ASV Aichwald, 51,von Benthen,Dominik,9.0,4.0,2.0,2.0,1.0,4.0
 ASV Aichwald, 51,Weinschenk,Daniel,11.0,0.0,0.0,4.0,1.0,3.0
 Tb Ruit Deers, 45,Dere,Ibrahim,22.0,5.0,4.0,6.0,2.0,4.0
 Tb Ruit Deers, 45,Gueli,Alessandro,5.0,0.0,0.0,1.0,1.0,0.0
 Tb Ruit Deers, 45,Hasanovic,Adnan,10.0,5.0,4.0,3.0,0.0,1.0
 Tb Ruit Deers, 45,Janovsky,Pascal,16.0,2.0,0.0,8.0,0.0,3.0
 Tb Ruit Deers, 45,Kumar,Sundeep,9.0,0.0,0.0,3.0,1.0,3.0
 Tb Ruit Deers, 45,Nhunwa Mbianga,Sylvain,2.0,0.0,0.0,1.0,0.0,2.0
 Tb Ruit Deers, 45,Pokoj,Franz,7.0,6.0,3.0,2.0,0.0,4.0
 Tb Ruit Deers, 45,Stefani,Rainer,0.0,0.0,0.0,0.0,0.0,0.0
 Tb Ruit Deers, 45,Zabadal,Patrick,14.0,5.0,4.0,2.0,2.0,2.0
 SpVgg Möhringen 2, 45,Blumberg,David,4.0,3.0,0.0,2.0,0.0,3.0
 SpVgg Möhringen 2, 45,Huber,Ari,23.0,10.0,5.0,3.0,4.0,1.0
 SpVgg Möhringen 2, 45,Jetter,Martin,10.0,0.0,0.0,2.0,2.0,4.0
 SpVgg Möhringen 2, 45,Nieuwenhuizen,Florian,24.0,4.0,3.0,9.0,1.0,4.0
 SpVgg Möhringen 2, 45,Pavlovits,Stefan Sasa,6.0,2.0,2.0,2.0,0.0,2.0
 SpVgg Möhringen 2, 45,Roman,Eric,4.0,2.0,0.0,2.0,0.0,3.0
 SpVgg Möhringen 2, 45,Rösch,Oliver,0.0,0.0,0.0,0.0,0.0,0.0
 SpVgg Möhringen 2, 45,Schlottke,Jan,0.0,0.0,0.0,0.0,0.0,3.0
 SpVgg Möhringen 2, 45,Wiedemann,Bernd,8.0,0.0,0.0,4.0,0.0,2.0
 SpVgg Möhringen 2, 45,Wrachtrup,Maximilian,3.0,1.0,1.0,1.0,0.0,1.0
 Sportvg Feuerbach 3, 70,Boras,Karlo,10.0,2.0,2.0,4.0,0.0,0.0
 Sportvg Feuerbach 3, 70,Cvijetic,Andrej-Danis,0.0,0.0,0.0,0.0,0.0,0.0
 Sportvg Feuerbach 3, 70,Georgiadis,Dimitris,4.0,0.0,0.0,2.0,0.0,2.0
 Sportvg Feuerbach 3, 70,Kebede,Musse,6.0,0.0,0.0,3.0,0.0,1.0
 Sportvg Feuerbach 3, 70,Kotromanovic,Marko,0.0,0.0,0.0,0.0,0.0,2.0
 Sportvg Feuerbach 3, 70,Nowak,Alexander,3.0,2.0,1.0,1.0,0.0,2.0
 Sportvg Feuerbach 3, 70,Pelkner,Niklas,7.0,2.0,0.0,2.0,1.0,3.0
 Sportvg Feuerbach 3, 70,Scharpf,Robert,0.0,0.0,0.0,0.0,0.0,0.0
 Sportvg Feuerbach 3, 70,Schneider,Alex,0.0,0.0,0.0,0.0,0.0,0.0
 Sportvg Feuerbach 3, 70,Schneider,Max,0.0,0.0,0.0,0.0,0.0,0.0
 Sportvg Feuerbach 3, 70,Siddalingappa,Arun,8.0,0.0,0.0,4.0,0.0,0.0
 Sportvg Feuerbach 3, 70,Skrimizeas,Dimitrios,2.0,0.0,0.0,1.0,0.0,1.0
 Tb Ruit Deers, 70,Cetin,Samet,6.0,4.0,1.0,1.0,1.0,0.0
 Tb Ruit Deers, 70,Gueli,Alessandro,13.0,0.0,0.0,5.0,1.0,0.0
 Tb Ruit Deers, 70,Hasanovic,Adnan,4.0,0.0,0.0,2.0,0.0,1.0
 Tb Ruit Deers, 70,Kumar,Sundeep,7.0,0.0,0.0,2.0,1.0,4.0
 Tb Ruit Deers, 70,****,***,25.0,2.0,1.0,9.0,2.0,0.0
 Tb Ruit Deers, 70,Nhunwa Mbianga,Sylvain,2.0,0.0,0.0,1.0,0.0,2.0
 Tb Ruit Deers, 70,****,***,2.0,0.0,0.0,1.0,0.0,1.0
 Tb Ruit Deers, 70,Pokoj,Franz,6.0,2.0,0.0,3.0,0.0,2.0
 Tb Ruit Deers, 70,****,***,6.0,1.0,0.0,3.0,0.0,0.0
 Tb Ruit Deers, 70,Siteavu,Mihai,2.0,2.0,0.0,1.0,0.0,0.0
 Tb Ruit Deers, 70,Stefani,Rainer,3.0,0.0,0.0,0.0,1.0,0.0
 TSB Schwäbisch Gmünd 2, 22,Bulatow,Max,6.0,0.0,0.0,0.0,2.0,0.0
 TSB Schwäbisch Gmünd 2, 22,Gouziotis,Konstantinos,2.0,2.0,0.0,1.0,0.0,0.0
 TSB Schwäbisch Gmünd 2, 22,Heilig,Jonas,3.0,4.0,1.0,1.0,0.0,1.0
 TSB Schwäbisch Gmünd 2, 22,Hellmann,Micha-Benjamin,4.0,0.0,0.0,2.0,0.0,2.0
 TSB Schwäbisch Gmünd 2, 22,Ihli,Jermaine,2.0,0.0,0.0,1.0,0.0,2.0
 TSB Schwäbisch Gmünd 2, 22,Lehmann,Oliver,1.0,2.0,1.0,0.0,0.0,0.0
 TSB Schwäbisch Gmünd 2, 22,Magkoutas,Konstantinos,4.0,0.0,0.0,2.0,0.0,1.0
 TSB Schwäbisch Gmünd 2, 22,Schwenk,Marvin,0.0,0.0,0.0,0.0,0.0,0.0
 TSB Schwäbisch Gmünd 2, 22,Stauss,Max,0.0,0.0,0.0,0.0,0.0,0.0
 TSB Schwäbisch Gmünd 2, 22,Tumba,Nikita,11.0,0.0,0.0,4.0,1.0,0.0
 TSB Schwäbisch Gmünd 2, 22,Weller,Ben,15.0,3.0,2.0,5.0,1.0,3.0
 SG Schorndorf, 22,Baykal,Emre,0.0,0.0,0.0,0.0,0.0,1.0
 SG Schorndorf, 22,Bulat,Kaan,3.0,0.0,0.0,0.0,1.0,1.0
 SG Schorndorf, 22,Gaudio,Joel,2.0,0.0,0.0,1.0,0.0,0.0
 SG Schorndorf, 22,Gerstenhauer,Timo,0.0,0.0,0.0,0.0,0.0,2.0
 SG Schorndorf, 22,Hergül,Eray,3.0,0.0,0.0,0.0,1.0,0.0
 SG Schorndorf, 22,Komlenic,Dusan,8.0,0.0,0.0,1.0,2.0,2.0
